Japanese,Reading,Class,Translation,Usage
わたし,私,⓪,名,我
～さん,,,接尾,先生，女士，同志（称呼人时，为了表示礼貌接在名字后面的接尾词）
がくせい,学生,⓪,名,学生
かいしゃいん,会社員,③,名,公司职员
あなた,貴方,②,名,你，您
はい,,①,感,是，对
いいえ,,③,感,不，不是
ぎんこういん,銀行員,③,名,银行职员
いしゃ,医者,⓪,名,医生
あのかた,あの方,④,名,他，她，那个人（“あのかた”是“あのひと”的礼貌说法）
どなた,何方,①,名,哪位（“どなた”是“だれ”的礼貌说法）
だいがく,大学,⓪,名,大学
さくらだいがく,桜大学,⓪,名,樱花大学（虚构的大学）
せんせい,先生,③,名,老师（在指自己的职业时不用）
～ちゃん,,⓪,接尾,代替“～さん”接在小孩名字后面的接尾词
なんさい,何歳,①,名,几岁
きゅう,９,①,数,9
-さい,一歳,⓪,助数,一岁
はじめまして,初めまして,⓪,,初次见面。（自我介绍时，最初讲的话）
おはようございます,,⓪,,早上好！
こちらは～さんです,,,,
アメリカ,America,⓪,名,美国
～からきました,～から来ました。,⓪,,从～来的。
[アメリカからきました。],アメリカから来ました。,⓪,,我从美国来。
どうぞよろしく[おねがいします]（お願いします）。,,⓪,,请多关照。（自我介绍时，最后讲的话 ）
ちゅうごく,中国,⓪,名,中国
～じん,～人,⓪,接尾,～人（表示国籍的接尾词，例如：アメリカじん（美国人））
ちゅうごくじん,中国人,⓪,名,中国人
きょうし,教師,①,名,教师
あのひと,あの人,④,名,他，她，那个人
だれ,誰,①,名,谁
IMC,アイ・エム・シー,,名,IMC公司（虚构的公司）
しゃいん,社員,①,名,公司的职员
ふじだいがく,富士大学,,名,富士大学（虚构的大学）
ブラジル,Brazil,④,名,巴西
はっさい,8歳,①,名,8岁
おいくつ,,①,名,多大岁数（「おいくつ」是「なんさい」的礼貌说法）
にほん,日本,②③,名,日本
イギリス,,②,名,英国
タイ,,①,名,泰国
ドイツ,,①,名,德国
エー・ケー・シー,,①,名,亚洲研究中心（虚构的机关）
けんきゅうしゃ,研究者,③,名,研究人员
こうべ,神戸,①,名,神户
びょういん,病院,①,名,医院
こうべびょういん,神戸病院,,名,神户医院（虚构的医院）
ブラジルエアー,,④,名,巴西航空（虚构的公司）
インド,,①,名,印度
かんこく,韓国,①,名,韩国
インドネシア,,④,名,印度尼西亚
しつれいですが,失礼ですが,,,对不起，请问
おなまえは,お名前は,,,您贵姓？您叫什么名字？
パワーでんき,power電気,,名,动力电气公司（虚构的公司）